,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
214,Hong Kong,22.29,114.16,86.0,74,58,3.0,HK,1598832238
215,Warrensburg,38.76,-93.74,78.8,69,40,5.82,US,1598832454
216,Petatlán,17.52,-101.27,86.0,66,75,11.41,MX,1598832455
217,Yulara,-25.24,130.99,60.8,48,0,11.41,AU,1598832259
218,Sasaram,24.95,84.01,79.84,80,74,4.83,IN,1598832312
219,Fort Oglethorpe,34.95,-85.26,77.0,88,75,3.36,US,1598832455
220,Estación Coahuila,32.19,-115.0,104.0,27,5,10.29,MX,1598832455
221,Waipawa,-41.41,175.52,59.0,67,0,32.21,NZ,1598832261
222,Qaqortoq,60.72,-46.03,48.2,61,100,4.7,GL,1598832456
223,Aklavik,68.22,-135.01,50.0,71,90,3.36,CA,1598832122
224,Cedar City,37.68,-113.06,87.8,10,1,13.87,US,1598832456
225,Cockburn Town,21.46,-71.14,83.32,80,0,15.43,TC,1598832011
226,Muros,42.78,-9.06,55.99,78,54,1.99,ES,1598832247
227,Normandin,48.83,-72.53,51.8,93,90,1.32,CA,1598832457
228,Carutapera,-1.2,-46.02,78.49,78,51,8.99,BR,1598832259
229,Shetpe,44.17,52.12,68.52,66,14,7.45,KZ,1598832457
230,Bonavista,48.65,-53.11,59.0,79,98,1.99,CA,1598832273
231,Grand-Santi,4.25,-54.38,76.57,85,69,1.57,GF,1598832458
232,Hithadhoo,-0.6,73.08,82.36,72,72,10.92,MV,1598832208
233,Tamandaré,-8.76,-35.1,75.13,82,7,9.35,BR,1598832458
234,Northam,51.03,-4.22,48.99,92,96,4.0,GB,1598832458
235,Saldanha,-33.01,17.94,41.0,80,0,2.24,ZA,1598832223
236,Lumphat,13.49,106.98,76.41,89,17,2.06,KH,1598832459
237,Haines Junction,60.75,-137.51,52.68,60,94,6.06,CA,1598832459
238,Raudeberg,61.99,5.14,46.99,83,0,13.4,NO,1598832459
239,Dingle,11.0,122.67,82.78,79,64,11.07,PH,1598832294
240,Sīrjān,29.45,55.68,61.57,30,0,12.24,IR,1598832460
241,The Valley,18.22,-63.06,84.2,74,40,6.93,AI,1598832460
242,Mossamedes,-15.2,12.15,61.32,72,26,4.85,AO,1598832226
243,Khuzhir,53.19,107.34,56.28,82,100,7.4,RU,1598832461
244,Paamiut,61.99,-49.67,45.12,82,31,19.08,GL,1598832276
245,Ouégoa,-20.35,164.43,74.03,55,1,9.48,NC,1598832461
246,Waingapu,-9.66,120.26,80.46,69,18,14.45,ID,1598832461
247,Harper,4.38,-7.72,75.79,82,81,9.62,LR,1598832258
248,Ponta do Sol,32.67,-17.1,71.6,60,40,17.22,PT,1598832242
249,Iquique,-20.22,-70.14,60.8,67,90,4.7,CL,1598832462
